timestamp,run_id,prompt_version,model,thinking,article_id,input_tokens,output_tokens,duration_seconds,status,fallback_used,validation_error
2026-05-22T01:23:42.744907+00:00,eval_v4,v4,deepseek/deepseek-v4-flash,False,20240322131500-1469,1981,1086,10.037,ok,False,
2026-05-22T01:23:48.492894+00:00,eval_v4,v4,deepseek/deepseek-v4-flash,False,20240611030000-971,1877,125,4.657,ok,False,
2026-05-22T01:23:48.485454+00:00,eval_v4,v4,deepseek/deepseek-v4-flash,False,20240614141500-970,1875,434,4.75,ok,False,
2026-05-22T01:23:47.599497+00:00,eval_v4,v4,deepseek/deepseek-v4-flash,False,20240613083000-822,1875,457,7.483,ok,False,
2026-05-22T01:23:53.236626+00:00,eval_v4,v4,deepseek/deepseek-v4-flash,False,20240626031500-334,1942,138,2.12,ok,False,
2026-05-22T01:23:47.158967+00:00,eval_v4,v4,deepseek/deepseek-v4-flash,False,20240608121500-378,1874,747,8.666,ok,False,
2026-05-22T01:23:52.782556+00:00,eval_v4,v4,deepseek/deepseek-v4-flash,False,20240610103000-502,1881,609,5.839,ok,False,
2026-05-22T01:23:53.150910+00:00,eval_v4,v4,deepseek/deepseek-v4-flash,False,20240622123000-19,1851,602,6.397,ok,False,
2026-05-22T01:23:55.357683+00:00,eval_v4,v4,deepseek/deepseek-v4-flash,False,20240623100000-608,1824,444,4.517,ok,False,
2026-05-22T01:23:55.083349+00:00,eval_v4,v4,deepseek/deepseek-v4-flash,False,20240624123000-925,1849,431,5.532,ok,False,
2026-05-22T01:23:55.825425+00:00,eval_v4,v4,deepseek/deepseek-v4-flash,False,20240620073000-463,1868,533,5.15,ok,False,
2026-05-22T01:23:59.875973+00:00,eval_v4,v4,deepseek/deepseek-v4-flash,False,20240520151500-1380,1924,89,2.266,ok,False,
2026-05-22T01:23:58.622448+00:00,eval_v4,v4,deepseek/deepseek-v4-flash,False,20240624050000-918,1890,298,5.153,ok,False,
2026-05-22T01:23:59.548391+00:00,eval_v4,v4,deepseek/deepseek-v4-flash,False,20240518181500-350,1872,699,6.239,ok,False,
2026-05-22T01:24:02.143051+00:00,eval_v4,v4,deepseek/deepseek-v4-flash,False,20240517140000-872,1886,510,3.866,ok,False,
2026-05-22T01:23:52.319480+00:00,eval_v4,v4,deepseek/deepseek-v4-flash,False,20240609151500-318,1726,441,15.002,ok,False,
2026-05-22T01:24:03.776870+00:00,eval_v4,v4,deepseek/deepseek-v4-flash,False,20240520114500-847,1874,301,3.783,ok,False,
2026-05-22T01:24:00.976436+00:00,eval_v4,v4,deepseek/deepseek-v4-flash,False,20240520101500-1164,1852,601,7.176,ok,False,
2026-05-22T01:24:06.010087+00:00,eval_v4,v4,deepseek/deepseek-v4-flash,False,20240506151500-831,1890,273,2.866,ok,False,
2026-05-22T01:24:05.788046+00:00,eval_v4,v4,deepseek/deepseek-v4-flash,False,20240508213000-451,1929,464,6.029,ok,False,
2026-05-22T01:24:07.561087+00:00,eval_v4,v4,deepseek/deepseek-v4-flash,False,20240502100000-1223,1866,643,5.178,ok,False,
2026-05-22T01:24:08.877307+00:00,eval_v4,v4,deepseek/deepseek-v4-flash,False,20240514154500-1256,1793,472,4.117,ok,False,
